ANDAR,CORREDOR,SKU,PECAS
0,31,SKU_781,24
0,31,SKU_5260,2
0,31,SKU_5262,37
0,31,SKU_950,28
0,31,SKU_908,35
0,31,SKU_909,159
0,31,SKU_13009,2
0,31,SKU_13011,4
0,31,SKU_15258,15
0,31,SKU_22076,43
0,31,SKU_3460,65
0,31,SKU_3466,50
0,31,SKU_867,37
0,31,SKU_19647,85
0,31,SKU_19979,58
0,31,SKU_20027,159
0,31,SKU_20196,1
0,32,SKU_17045,1
0,32,SKU_17046,557
0,32,SKU_20272,79
0,32,SKU_17027,3
0,32,SKU_17148,134
0,32,SKU_17028,242
0,32,SKU_17071,123
0,32,SKU_17035,122
0,32,SKU_17036,296
0,32,SKU_17093,147
0,32,SKU_18137,201
0,32,SKU_17039,76
0,32,SKU_17194,2
0,32,SKU_18097,237
0,32,SKU_17110,98
0,32,SKU_190,59
0,32,SKU_17111,38
0,32,SKU_17113,46
0,32,SKU_17264,3
0,32,SKU_4830,15
0,32,SKU_19519,245
0,32,SKU_20663,17
0,32,SKU_17116,55
0,32,SKU_11115,14
0,32,SKU_9203,4
0,33,SKU_19451,193
0,33,SKU_19421,86
0,33,SKU_19422,31
0,33,SKU_20311,91
0,33,SKU_13404,2
0,33,SKU_13859,42
0,33,SKU_14008,3
0,33,SKU_19610,275
0,33,SKU_538,302
0,33,SKU_742,115
0,33,SKU_3135,62
0,33,SKU_13056,130
0,33,SKU_13057,161
0,33,SKU_779,85
0,33,SKU_782,303
0,33,SKU_100,50
0,33,SKU_959,60
0,33,SKU_960,14
0,33,SKU_11093,7
0,33,SKU_908,79
0,33,SKU_909,69
0,33,SKU_13008,109
0,33,SKU_3460,17
0,33,SKU_823,83
0,33,SKU_829,46
0,33,SKU_867,54
0,33,SKU_3544,108
0,33,SKU_19979,487
0,33,SKU_20199,34
0,34,SKU_17045,102
0,34,SKU_17046,598
0,34,SKU_19454,164
0,34,SKU_21,72
0,34,SKU_17026,1
0,34,SKU_19368,54
0,34,SKU_20272,28
