sku,floor,corridor,stock_available,stock_used,stock_remaining
SKU_17067,0,10,86,0,86
SKU_17067,0,12,77,0,77
SKU_17067,0,20,60,0,60
SKU_17067,0,22,60,0,60
SKU_17067,0,38,60,0,60
SKU_17067,0,114,49,0,49
SKU_17067,0,42,45,0,45
SKU_17067,0,50,40,0,40
SKU_17067,0,126,36,0,36
SKU_17067,0,8,35,0,35
SKU_17067,0,16,15,0,15
SKU_17067,0,138,2,0,2
SKU_17067,0,104,1,0,1
SKU_17067,0,124,1,0,1
SKU_17067,0,134,1,0,1
SKU_19374,0,8,256,7,249
SKU_19374,0,14,140,0,140
SKU_21537,0,8,1,1,0
SKU_13465,2,167,99,38,61
SKU_13465,0,8,38,0,38
SKU_13075,0,17,60,18,42
SKU_13075,0,9,59,0,59
SKU_13075,0,21,17,0,17
SKU_21824,0,13,53,2,51
SKU_21824,0,9,27,0,27
SKU_21824,0,68,17,0,17
SKU_21824,2,43,5,0,5
SKU_21824,0,21,3,0,3
SKU_5017,0,9,19,3,16
SKU_17272,0,11,189,25,164
SKU_17272,0,9,42,0,42
SKU_15,2,169,125,30,95
SKU_15,0,9,93,0,93
SKU_15,2,167,93,0,93
SKU_15,2,165,86,0,86
SKU_15,2,163,78,0,78
SKU_15,0,31,23,0,23
SKU_15,0,159,1,0,1
SKU_9208,0,9,6,1,5
SKU_9208,0,11,2,0,2
SKU_9208,0,165,1,0,1
SKU_9210,0,9,12,10,2
SKU_10351,0,9,85,3,82
SKU_10351,0,116,10,0,10
SKU_3459,0,11,196,44,152
SKU_3459,0,13,166,0,166
SKU_3459,0,9,47,0,47
SKU_3459,0,15,13,0,13
SKU_3536,0,9,142,35,107
SKU_3536,0,17,118,0,118
SKU_3536,0,15,51,0,51
SKU_3536,0,13,36,0,36
SKU_18074,0,14,299,1,298
SKU_18074,0,18,239,0,239
SKU_18074,0,10,162,0,162
SKU_18074,0,12,88,0,88
SKU_18074,0,26,59,0,59
SKU_18074,0,66,53,0,53
SKU_18074,0,86,12,0,12
SKU_18074,0,24,1,0,1
SKU_18074,0,126,1,0,1
SKU_18074,0,148,1,0,1
SKU_17148,0,24,345,1,344
SKU_17148,0,18,313,0,313
SKU_17148,0,10,142,0,142
SKU_17148,0,32,134,0,134
SKU_17148,0,12,116,0,116
SKU_17148,0,126,99,0,99
SKU_17148,0,46,83,0,83
SKU_17148,0,48,78,0,78
SKU_17148,0,34,77,0,77
SKU_17148,0,62,67,0,67
SKU_17148,0,120,49,0,49
SKU_17148,0,40,44,0,44
SKU_17148,0,26,2,0,2
SKU_17148,0,78,1,0,1
SKU_17040,0,10,60,1,59
SKU_17040,0,14,44,0,44
SKU_17040,0,16,23,0,23
SKU_17040,0,42,3,0,3
SKU_693,2,91,233,2,231
SKU_693,1,117,127,0,127
SKU_693,1,121,74,0,74
SKU_693,2,89,44,0,44
SKU_693,1,119,5,0,5
SKU_693,0,10,1,0,1
SKU_693,1,4,1,0,1
