         6515894713 function calls (6356657814 primitive calls) in 1951.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 12254687    7.046    0.000   13.658    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/construction.py:769(_try_cast)
 12260657    7.338    0.000   13.590    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:2645(maybe_coerce_values)
 24418455    9.686    0.000   13.110    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:5373(__getitem__)
 36292893    7.363    0.000   13.088    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:1181(<genexpr>)
 20346882    7.425    0.000   12.959    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/construction.py:696(_sanitize_ndim)
40792900/40742836   12.133    0.000   12.732    0.000 {built-in method numpy.asarray}
  8073255    7.612    0.000   12.626    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/numpy/_core/numeric.py:303(full)
   157053    0.104    0.000   12.491    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/ops/common.py:62(new_method)
 12281667    3.583    0.000   12.453    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/base.py:86(_validate_set_axis)
 16660862    6.068    0.000   12.267    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1434(_is_dtype_type)
  8134313    5.188    0.000   11.954    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/algorithms.py:1131(take)
 12097631    3.179    0.000   10.889    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:935(_expand_ellipsis)
  8185671    2.457    0.000   10.813    0.000 {method 'any' of 'numpy.ndarray' objects}
 24217550    9.052    0.000   10.775    0.000 /opt/homebrew/Cellar/python@3.12/3.12.6/Frameworks/Python.framework/Versions/3.12/lib/python3.12/warnings.py:484(__enter__)
